year,unemp_rate
2010,12.964062500000002
2011,12.620312500000004
2012,11.171875
2013,10.390625000000004
2014,8.889062499999998
2015,7.5531250000000005
2016,6.7546875
2017,6.0015624999999995
2018,5.271875000000001
2019,4.932812499999999
2020,5.062500000000001
